Timestamps,AWS/EC2 NetworkIn,AWS/EC2 NetworkOut,System/Linux MemoryUtilization,AWS/EC2 CPUUtilization
2019-10-05 07:05:00+00:00,568.0,458.0,0,0.0
2019-10-05 07:10:00+00:00,56.0,28.0,0,0.0
2019-10-05 07:15:00+00:00,56.0,28.0,0,0.163934426228614
2019-10-05 07:20:00+00:00,166.0,96.0,0,0.0
2019-10-05 07:25:00+00:00,56.0,28.0,0,0.0
2019-10-05 07:30:00+00:00,56.0,28.0,0,0.169491525424345
2019-10-05 07:35:00+00:00,892.0,458.0,0,0.0
2019-10-05 07:40:00+00:00,1569.0,2165.0,0,0.166666666665757
2019-10-05 07:45:00+00:00,56.0,28.0,0,0.0
2019-10-05 07:50:00+00:00,2210.0,1393.0,0,0.0
2019-10-05 07:55:00+00:00,56.0,84.0,0,0.166666666667273
2019-10-05 08:00:00+00:00,938.0,483.0,0,0.0
2019-10-05 08:05:00+00:00,568.0,458.0,0,0.0
2019-10-05 08:10:00+00:00,17398.0,15571.0,0,0.166666666667273
2019-10-05 08:15:00+00:00,56.0,28.0,0,0.163934426228614
2019-10-05 08:20:00+00:00,2334.0,1897.0,0,0.0
2019-10-05 08:25:00+00:00,1585.0,2165.0,0,0.0
2019-10-05 08:30:00+00:00,56.0,28.0,0,0.166666666667273
2019-10-05 08:35:00+00:00,568.0,458.0,0,0.0
2019-10-05 08:40:00+00:00,56.0,28.0,0,0.166666666665757
2019-10-05 08:45:00+00:00,56.0,28.0,0,0.0
2019-10-05 08:50:00+00:00,174.0,96.0,0,0.0
2019-10-05 08:55:00+00:00,4593.0,1684.0,0,0.169491525424345
2019-10-05 09:00:00+00:00,2288.0,539.0,0,0.0
2019-10-05 09:05:00+00:00,1648.0,458.0,0,0.0
2019-10-05 09:10:00+00:00,2003.0,1481.0,0,0.163934426228614
2019-10-05 09:15:00+00:00,974.0,28.0,0,0.0
2019-10-05 09:20:00+00:00,2260.0,1634.0,0,0.166666666667273
2019-10-05 09:25:00+00:00,760.0,420.0,0,0.0
2019-10-05 09:30:00+00:00,704.0,28.0,0,0.166666666665757
2019-10-05 09:35:00+00:00,1054.0,458.0,0,0.0
